index,latitude,longitude,Temp_pre_30,Temp_pre_15,Temp_pre_7,Wind_pre_30,Wind_pre_15,Wind_pre_7,Hum_pre_30,Hum_pre_15,Hum_pre_7,Prec_pre_30,Prec_pre_15,Prec_pre_7,remoteness,catastrophic,month_sin,month_cos,Vegetation_0,Vegetation_4,Vegetation_9,Vegetation_12,Vegetation_14,Vegetation_15,Vegetation_16,Vegetation
37307,40.8332,-116.0509,20.49030471,19.74930362,20.58181818,2.369252078,2.277158774,1.5278787880000002,34.94598338,34.37325905,30.95151515,0.0,0.0,0.0,0.043666195357958,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37308,41.3166,-116.8843,30.33163265,30.29896907,28.62745098,4.343076923,4.136458333,3.708,13.84615385,13.15625,12.12,0.0,0.0,0.0,0.0620352951975204,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37309,40.6666,-116.3676,30.33163265,30.29896907,28.62745098,4.343076923,4.136458333,3.708,13.84615385,13.15625,12.12,0.0,0.0,0.0,0.04885963108275,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37310,40.8507,-116.3787,30.33163265,30.29896907,28.62745098,4.343076923,4.136458333,3.708,13.84615385,13.15625,12.12,0.0,0.0,0.0,0.0500114513071772,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37311,40.5274,-116.2579,18.35457064,16.25484765,14.16071429,2.16629681,2.162880886,2.10952381,30.5409154,29.9833795,28.69047619,0.0,0.0,0.0,0.0460518203235325,1,-1.0,-1.8369701987210297e-16,False,False,False,False,False,True,False,15
37312,38.3333,-114.7508,11.73923304,10.94551084,15.13030303,2.501917404,2.381114551,1.978181818,49.3033033,56.35048232,45.11515152,0.0,0.0,0.0,0.0846170239169026,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37314,37.1666,-114.9008,28.1432,31.97096774,31.321875,2.786666667,2.530645161,2.409375,15.65,10.75806452,10.03125,0.0,0.0,0.0,0.102347196051699,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37316,41.1405,-117.976,14.11155844,14.30588235,19.67278107,3.755584416,3.598976982,3.227218935,49.25492773,51.73007712,36.43786982,31.1,18.8,0.0,0.081908280092207,1,1.2246467991473532e-16,-1.0,False,False,False,False,False,True,False,15
37317,41.7363,-117.7404,22.35945578,24.66983696,22.9,3.636054422,3.5505434780000003,3.607514451,36.54693878,30.32336957,26.0,10.6,0.0,0.0,0.0803863245673379,1,-0.4999999999999998,-0.8660254037844388,False,False,False,False,False,True,False,15
37318,40.6621,-117.9757,22.35945578,24.66983696,22.9,3.636054422,3.5505434780000003,3.607514451,36.54693878,30.32336957,26.0,10.6,0.0,0.0,0.079697390391721,1,-0.4999999999999998,-0.8660254037844388,False,False,False,False,False,True,False,15
37319,41.3413,-117.1215,23.59170068,22.72316076,21.89529412,3.4414965989999997,3.569482289,3.2117647060000003,28.5755102,27.33242507,23.31176471,0.0,0.0,0.0,0.0666552174771284,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37320,39.9052,-119.2179,25.5401662,24.94182825,24.49404762,3.327977839,3.252354571,2.908928571,27.289435600000004,25.86005831,22.75641026,0.8,0.0,0.0,0.100610089155251,1,-0.8660254037844384,-0.5000000000000004,True,False,False,False,False,False,False,0
37321,41.2999,-117.2676,23.15978112,23.57857143,22.14345238,3.515868673,3.466208791,3.30952381,27.90150479,28.29945055,23.970238100000003,0.0,0.0,0.0,0.0692082760108618,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37322,41.1332,-117.4843,23.15978112,23.57857143,22.14345238,3.515868673,3.466208791,3.30952381,27.90150479,28.29945055,23.970238100000003,0.0,0.0,0.0,0.072503148557925,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37323,41.4891,-117.0637,23.15978112,23.57857143,22.14345238,3.515868673,3.466208791,3.30952381,27.90150479,28.29945055,23.970238100000003,0.0,0.0,0.0,0.0663388195427636,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37324,41.4832,-117.0676,23.15978112,23.57857143,22.14345238,3.515868673,3.466208791,3.30952381,27.90150479,28.29945055,23.970238100000003,0.0,0.0,0.0,0.0663812494086153,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37325,41.0438,-117.9443,23.15978112,23.57857143,22.14345238,3.515868673,3.466208791,3.30952381,27.90150479,28.29945055,23.970238100000003,0.0,0.0,0.0,0.0808504278351545,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37326,41.1166,-117.7843,23.15978112,23.57857143,22.14345238,3.515868673,3.466208791,3.30952381,27.90150479,28.29945055,23.970238100000003,0.0,0.0,0.0,0.0781402316179951,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37327,41.6055,-118.1852,23.15978112,23.57857143,22.14345238,3.515868673,3.466208791,3.30952381,27.90150479,28.29945055,23.970238100000003,0.0,0.0,0.0,0.0881167796726336,1,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,True,False,15
37328,40.5896,-117.7093,15.40876712,11.75082418,12.58035714,3.155890411,3.05467033,3.145238095,36.28082192,46.92307692,35.125,0.3,0.3,0.0,0.074242854144181,1,-1.0,-1.8369701987210297e-16,False,False,False,False,False,True,False,15
37329,36.9964,-107.0467,17.5588015,17.40865922,20.76829268,4.1176029960000005,3.946927374,3.616463415,32.8988764,35.39106145,32.29878049,0.0,0.0,0.0,0.2231536610966449,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37330,43.2202,-119.4397,20.07142857,20.07142857,20.07142857,1.8,1.8,1.8,52.28571429,52.28571429,52.28571429,0.0,0.0,0.0,0.1196008004944113,1,-0.4999999999999998,-0.8660254037844388,False,False,True,False,False,False,False,9
37331,38.3319,-112.9861,23.07567568,23.5212766,22.34146341,4.148369565,4.177419355,3.685,33.92896175,28.65217391,34.3,0.0,0.0,0.0,0.1112194201417688,1,-0.8660254037844384,-0.5000000000000004,True,False,False,False,False,False,False,0
37332,38.4344,-112.7255,22.91620112,22.47674419,22.97368421,4.274157303,4.430232558,5.063157895,28.68539326,27.24418605,29.81578947,0.0,0.0,0.0,0.1133741054650245,1,-0.8660254037844384,-0.5000000000000004,True,False,False,False,False,False,False,0
37333,39.7058,-112.2808,20.20994475,23.89333333,23.29791667,3.355,3.5696629210000004,3.910416667,37.37777778,25.12359551,23.8125,0.0,0.0,0.0,0.098365273488862,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37334,38.6241,-112.6269,23.85,23.40989011,24.82195122,3.921428571,4.297777778,2.6375,27.63736264,30.43333333,32.575,0.0,0.0,0.0,0.1116033657609425,1,-0.4999999999999998,-0.8660254037844388,True,False,False,False,False,False,False,0
37335,39.2197,-112.213,23.85,23.40989011,24.82195122,3.921428571,4.297777778,2.6375,27.63736264,30.43333333,32.575,0.0,0.0,0.0,0.107626510978203,1,-0.4999999999999998,-0.8660254037844388,True,False,False,False,False,False,False,0
37336,39.7333,-112.4008,24.49519231,25.22264151,26.69642857,3.633980583,2.97047619,2.382142857,30.33495146,35.5047619,39.67857143,0.5,0.5,0.5,0.0961132704780596,1,-0.4999999999999998,-0.8660254037844388,True,False,False,False,False,False,False,0
37337,39.5011,-112.2244,25.90952381,26.17,25.82142857,2.7080952380000003,2.8089999999999997,2.326785714,38.51904762,36.24,40.51785714,0.5,0.0,0.0,0.1026738963392219,1,-0.8660254037844384,-0.5000000000000004,True,False,False,False,False,False,False,0
37338,39.628,-112.1191,25.94835681,26.39795918,25.94827586,2.7037558689999996,2.646938776,2.44137931,38.54929577,34.38775510000001,40.72413793,0.5,0.0,0.0,0.1020901403738125,1,-0.8660254037844384,-0.5000000000000004,True,False,False,False,False,False,False,0
